node_a,node_b,score_mean,score_p75,score_max,pair_count,human_action,human_notes
L2_N0a6e8ca5,L2_N13abaa5a,-1.0,-1.0,-1.0,1,keep,
L2_N0a6e8ca5,L2_N1f3bd9b5,-1.0,-1.0,-1.0,1,keep,
L2_N0a6e8ca5,L2_N45607115,-1.0,-1.0,-1.0,1,keep,
L2_N0a6e8ca5,L2_N466127b4,-1.0,-1.0,-1.0,1,keep,
L2_N0a6e8ca5,L2_N55017dad,-1.0,-1.0,-1.0,1,keep,
L2_N0a6e8ca5,L2_N69b20189,-1.0,-1.0,-1.0,1,keep,
L2_N0a6e8ca5,L2_N6dbdd1f8,-1.0,-1.0,-1.0,2,keep,
L2_N0a6e8ca5,L2_Na75f0b05,-1.0,-1.0,-1.0,2,keep,
L2_N0a6e8ca5,L2_Nbfebbffa,-1.0,-1.0,-1.0,1,keep,
L2_N0a6e8ca5,L2_Nd8a500a1,-1.0,-1.0,-1.0,2,keep,
L2_N0a6e8ca5,L2_Ne1879105,-1.0,-1.0,-1.0,2,keep,
L2_N0a6e8ca5,L2_Ne4cef915,-1.0,-1.0,-1.0,1,keep,
L2_N0a6e8ca5,L2_Nfab45a1f,-1.0,-1.0,-1.0,2,keep,
L2_N13abaa5a,L2_N1f3bd9b5,-1.0,-1.0,-1.0,1,keep,
L2_N13abaa5a,L2_N2f1afa59,-1.0,-1.0,-1.0,1,keep,
L2_N13abaa5a,L2_N2f32c229,-1.0,-1.0,-1.0,2,keep,
L2_N13abaa5a,L2_N3d4844b8,-1.0,-1.0,-1.0,2,keep,
L2_N13abaa5a,L2_N45607115,-1.0,-1.0,-1.0,2,keep,
L2_N13abaa5a,L2_N466127b4,-1.0,-1.0,-1.0,1,keep,
L2_N13abaa5a,L2_N4db8aea7,-1.0,-1.0,-1.0,1,keep,
L2_N13abaa5a,L2_N55017dad,-1.0,-1.0,-1.0,1,keep,
L2_N13abaa5a,L2_N649ec6c7,-1.0,-1.0,-1.0,2,keep,
L2_N13abaa5a,L2_N68c2aa93,-1.0,-1.0,-1.0,1,keep,
L2_N13abaa5a,L2_N69b20189,-1.0,-1.0,-1.0,1,keep,
L2_N13abaa5a,L2_N6dbdd1f8,-1.0,-1.0,-1.0,1,keep,
L2_N13abaa5a,L2_N77ba01f7,-1.0,-1.0,-1.0,1,keep,
L2_N13abaa5a,L2_N7d4bb1b0,-1.0,-1.0,-1.0,2,keep,
L2_N13abaa5a,L2_N8c3b0cad,-1.0,-1.0,-1.0,1,keep,
L2_N13abaa5a,L2_N9f46f3fd,-1.0,-1.0,-1.0,2,keep,
L2_N13abaa5a,L2_Na75f0b05,-1.0,-1.0,-1.0,1,keep,
L2_N13abaa5a,L2_Nb22f5139,-1.0,-1.0,-1.0,1,keep,
L2_N13abaa5a,L2_Nb80d9c6e,-1.0,-1.0,-1.0,2,keep,
L2_N13abaa5a,L2_Nbfebbffa,-1.0,-1.0,-1.0,1,keep,
L2_N13abaa5a,L2_Nc01148b0,-1.0,-1.0,-1.0,2,keep,
L2_N13abaa5a,L2_Nd8a500a1,-1.0,-1.0,-1.0,1,keep,
L2_N13abaa5a,L2_Ne1879105,-1.0,-1.0,-1.0,1,keep,
L2_N13abaa5a,L2_Ne4cef915,-1.0,-1.0,-1.0,2,keep,
L2_N13abaa5a,L2_Nfab45a1f,-1.0,-1.0,-1.0,1,keep,
L2_N13abaa5a,L2_Nfdcfd3c4,-1.0,-1.0,-1.0,1,keep,
L2_N1f3bd9b5,L2_N2f32c229,-1.0,-1.0,-1.0,1,keep,
L2_N1f3bd9b5,L2_N466127b4,-1.0,-1.0,-1.0,2,keep,
L2_N1f3bd9b5,L2_N4db8aea7,-1.0,-1.0,-1.0,1,keep,
L2_N1f3bd9b5,L2_N55017dad,-1.0,-1.0,-1.0,2,keep,
L2_N1f3bd9b5,L2_N68c2aa93,-1.0,-1.0,-1.0,1,keep,
L2_N1f3bd9b5,L2_N6dbdd1f8,-1.0,-1.0,-1.0,2,keep,
L2_N1f3bd9b5,L2_N9ef25cc0,-1.0,-1.0,-1.0,1,keep,
L2_N1f3bd9b5,L2_N9f46f3fd,-1.0,-1.0,-1.0,1,keep,
L2_N1f3bd9b5,L2_Na75f0b05,-1.0,-1.0,-1.0,1,keep,
L2_N1f3bd9b5,L2_Nbfebbffa,-1.0,-1.0,-1.0,1,keep,
L2_N1f3bd9b5,L2_Nd825449f,-1.0,-1.0,-1.0,2,keep,
L2_N1f3bd9b5,L2_Ne1879105,-1.0,-1.0,-1.0,1,keep,
L2_N1f3bd9b5,L2_Ne4cef915,-1.0,-1.0,-1.0,1,keep,
L2_N2f1afa59,L2_N4db8aea7,-1.0,-1.0,-1.0,1,keep,
L2_N2f1afa59,L2_N7d4bb1b0,-1.0,-1.0,-1.0,1,keep,
L2_N2f1afa59,L2_N8c3b0cad,-1.0,-1.0,-1.0,1,keep,
L2_N2f1afa59,L2_Nbfebbffa,-1.0,-1.0,-1.0,1,keep,
L2_N2f1afa59,L2_Nff3b5230,-1.0,-1.0,-1.0,1,keep,
L2_N2f32c229,L2_N3d4844b8,-1.0,-1.0,-1.0,2,keep,
L2_N2f32c229,L2_N4db8aea7,-1.0,-1.0,-1.0,1,keep,
L2_N2f32c229,L2_N649ec6c7,-1.0,-1.0,-1.0,1,keep,
L2_N2f32c229,L2_N69b20189,-1.0,-1.0,-1.0,1,keep,
L2_N2f32c229,L2_N6dbdd1f8,-1.0,-1.0,-1.0,1,keep,
L2_N2f32c229,L2_N77ba01f7,-1.0,-1.0,-1.0,2,keep,
L2_N2f32c229,L2_N7d4bb1b0,-1.0,-1.0,-1.0,2,keep,
L2_N2f32c229,L2_N9a2b3002,-1.0,-1.0,-1.0,2,keep,
L2_N2f32c229,L2_N9e86e873,-1.0,-1.0,-1.0,1,keep,
L2_N2f32c229,L2_N9ef25cc0,-1.0,-1.0,-1.0,2,keep,
L2_N2f32c229,L2_N9f46f3fd,-1.0,-1.0,-1.0,1,keep,
L2_N2f32c229,L2_Na75f0b05,-1.0,-1.0,-1.0,1,keep,
L2_N2f32c229,L2_Nb22f5139,-1.0,-1.0,-1.0,1,keep,
L2_N2f32c229,L2_Nb80d9c6e,-1.0,-1.0,-1.0,2,keep,
L2_N2f32c229,L2_Nbde783bd,-1.0,-1.0,-1.0,2,keep,
L2_N2f32c229,L2_Nbfebbffa,-1.0,-1.0,-1.0,1,keep,
L2_N2f32c229,L2_Nc01148b0,-1.0,-1.0,-1.0,2,keep,
L2_N2f32c229,L2_Nd77a7607,-1.0,-1.0,-1.0,2,keep,
L2_N2f32c229,L2_Nd8a500a1,-1.0,-1.0,-1.0,1,keep,
L2_N2f32c229,L2_Ne1879105,-1.0,-1.0,-1.0,1,keep,
L2_N2f32c229,L2_Ne4cef915,-1.0,-1.0,-1.0,2,keep,
L2_N2f32c229,L2_Nfab45a1f,-1.0,-1.0,-1.0,1,keep,
L2_N2f32c229,L2_Nfeea0571,-1.0,-1.0,-1.0,2,keep,
L2_N2f32c229,L2_Nff3b5230,-1.0,-1.0,-1.0,2,keep,
L2_N33b2d022,L2_N4db8aea7,-1.0,-1.0,-1.0,1,keep,
L2_N33b2d022,L2_N7d4bb1b0,-1.0,-1.0,-1.0,1,keep,
L2_N33b2d022,L2_N9a2b3002,-1.0,-1.0,-1.0,1,keep,
L2_N33b2d022,L2_N9e86e873,-1.0,-1.0,-1.0,1,keep,
L2_N33b2d022,L2_Nb22f5139,-1.0,-1.0,-1.0,1,keep,
L2_N33b2d022,L2_Nbde783bd,-1.0,-1.0,-1.0,2,keep,
L2_N33b2d022,L2_Nd77a7607,-1.0,-1.0,-1.0,1,keep,
L2_N33b2d022,L2_Nfeea0571,-1.0,-1.0,-1.0,1,keep,
L2_N3d4844b8,L2_N4db8aea7,-1.0,-1.0,-1.0,1,keep,
L2_N3d4844b8,L2_N649ec6c7,-1.0,-1.0,-1.0,1,keep,
L2_N3d4844b8,L2_N77ba01f7,-1.0,-1.0,-1.0,2,keep,
L2_N3d4844b8,L2_N7d4bb1b0,-1.0,-1.0,-1.0,1,keep,
L2_N3d4844b8,L2_N9a2b3002,-1.0,-1.0,-1.0,2,keep,
L2_N3d4844b8,L2_N9e86e873,-1.0,-1.0,-1.0,1,keep,
L2_N3d4844b8,L2_N9ef25cc0,-1.0,-1.0,-1.0,2,keep,
L2_N3d4844b8,L2_N9f46f3fd,-1.0,-1.0,-1.0,2,keep,
L2_N3d4844b8,L2_Na75f0b05,-1.0,-1.0,-1.0,1,keep,
L2_N3d4844b8,L2_Nb80d9c6e,-1.0,-1.0,-1.0,2,keep,
L2_N3d4844b8,L2_Nc01148b0,-1.0,-1.0,-1.0,2,keep,
L2_N3d4844b8,L2_Nd77a7607,-1.0,-1.0,-1.0,2,keep,
L2_N3d4844b8,L2_Nd8a500a1,-1.0,-1.0,-1.0,1,keep,
L2_N3d4844b8,L2_Ne1879105,-1.0,-1.0,-1.0,1,keep,
L2_N3d4844b8,L2_Ne4cef915,-1.0,-1.0,-1.0,2,keep,
L2_N3d4844b8,L2_Nfab45a1f,-1.0,-1.0,-1.0,1,keep,
L2_N3d4844b8,L2_Nfeea0571,-1.0,-1.0,-1.0,2,keep,
L2_N3d4844b8,L2_Nff3b5230,-1.0,-1.0,-1.0,2,keep,
L2_N45607115,L2_N649ec6c7,-1.0,-1.0,-1.0,1,keep,
L2_N45607115,L2_N69b20189,-1.0,-1.0,-1.0,2,keep,
L2_N45607115,L2_N77ba01f7,-1.0,-1.0,-1.0,1,keep,
L2_N45607115,L2_N7d4bb1b0,-1.0,-1.0,-1.0,2,keep,
L2_N45607115,L2_N9a2b3002,-1.0,-1.0,-1.0,2,keep,
L2_N45607115,L2_Na75f0b05,-1.0,-1.0,-1.0,1,keep,
L2_N45607115,L2_Nb22f5139,-1.0,-1.0,-1.0,2,keep,
L2_N45607115,L2_Nb80d9c6e,-1.0,-1.0,-1.0,2,keep,
L2_N45607115,L2_Nc01148b0,-1.0,-1.0,-1.0,2,keep,
L2_N45607115,L2_Nd77a7607,-1.0,-1.0,-1.0,2,keep,
L2_N45607115,L2_Nd8a500a1,-1.0,-1.0,-1.0,2,keep,
L2_N45607115,L2_Ne1879105,-1.0,-1.0,-1.0,1,keep,
