node_id,member_id
L4_N9596affd,DF1759_00087_01
L4_Nc0927f0b,DF1759_00089_01
L4_N2720f054,DF1759_00092_01
L4_Ndfac356a,DF1759_00094_01
L4_N5fc249ab,DF1759_00094_02
L4_N6bfccf65,DF1759_00094_03
L4_Nbc7f4787,DF1759_00096_01
L4_N6834f90a,DF1759_00096_02
L4_Nb11795db,DF1759_00057_01
L4_N945a64d3,DF1759_00057_02
L4_Na37f8214,DF1759_00059_01
L4_Ne346220c,DF1759_00059_02
L4_N27d838ea,DF1759_00062_01
L4_Nb967aed3,DF1759_00064_01
L4_Nbf72ad46,DF1759_00064_02
L4_N6aba220c,DF1759_00064_03
L4_Nfdd2124b,DF1759_00075_01
L4_Nd79ac9d1,DF1759_00075_02
L4_Nc2b08089,DF1759_00075_03
L4_N31c774ef,DF1759_00077_01
L4_Na5c9f759,DF1759_00077_02
L4_N2d19c279,DF1759_00123_01
L4_N3bc888c0,DF1759_00123_02
L4_N6bcc2030,DF1759_00126_01
L4_N0d91d293,DF1759_00128_01
L4_N3ac13c17,DF1759_00128_02
L4_Na8ba2f4a,DF1759_00131_01
L4_Nd3a9b4af,DF1759_00167_01
L4_Nf3f8f8c3,DF1759_00167_02
L4_N0188902d,DF1759_00169_01
L4_N832c0c49,DF1759_00169_02
L4_N3494c85c,DF1759_00171_01
L4_N04e09dc2,DF1759_00171_02
L4_N198738ba,DF1759_00172_01
L4_N3fa16235,DF1759_00172_02
L4_N32b417e2,DF1759_00172_03
L4_Naf94a663,DF1759_00175_01
L4_N96f6c2a8,DF1759_00141_01
L4_Ne55e384d,DF1759_00143_01
L4_N1244f6cb,DF1759_00143_02
L4_N6e9da33c,DF1759_00146_01
L4_Nea0a385e,DF1759_00148_01
L4_N6b11fc79,DF1759_00151_01
L4_N48c963e1,DF1759_00153_01
L4_Na35a474b,DF1759_00153_02
L4_N08407b0e,DF1759_00153_03
