id_a,id_b,rerank_score,kept_by_rerank
DF0009_00011_01,DF0009_00014_01,-1.0,False
DF0009_00011_01,DF0009_00039_01,-1.0,False
DF0009_00011_01,DF0009_00032_01,-1.0,False
DF0009_00011_01,DF0009_00032_02,-1.0,False
DF0009_00011_01,ZY0103_00029_01,-1.0,False
DF0009_00011_01,ZY0103_00036_01,-1.0,False
DF0009_00011_01,DF0403_00032_02,-1.0,False
DF0009_00011_01,ZY0103_00034_01,-1.0,False
DF0009_00011_01,ZY0103_00030_01,-1.0,False
DF0009_00011_01,DF0009_00017_01,-1.0,False
DF0009_00011_01,ZY0103_00032_01,-1.0,False
DF0009_00011_01,DF1759_00083_01,-1.0,False
DF0009_00011_01,DF1759_00118_01,-1.0,False
DF0009_00011_01,DF1759_00087_01,-1.0,False
DF0009_00011_01,DF1176_00043_01,-1.0,False
DF0009_00011_01,DF1176_00033_01,-1.0,False
DF0009_00011_01,DF1759_00089_01,-1.0,False
DF0009_00014_01,DF0009_00011_01,-1.0,False
DF0009_00014_01,DF0009_00039_01,-1.0,False
DF0009_00014_01,DF0009_00032_01,-1.0,False
DF0009_00014_01,ZY0103_00029_01,-1.0,False
DF0009_00014_01,DF0403_00032_02,-1.0,False
DF0009_00014_01,DF0009_00032_02,-1.0,False
DF0009_00014_01,ZY0103_00032_01,-1.0,False
DF0009_00014_01,ZY0103_00036_01,-1.0,False
DF0009_00014_01,ZY0103_00034_01,-1.0,False
DF0009_00014_01,DF1759_00083_01,-1.0,False
DF0009_00014_01,ZY0103_00030_01,-1.0,False
DF0009_00014_01,DF1176_00033_01,-1.0,False
DF0009_00014_01,DF1176_00043_01,-1.0,False
DF0009_00014_01,ZY0103_00020_01,-1.0,False
DF0009_00014_01,DF1759_00087_01,-1.0,False
DF0009_00014_01,DF1759_00054_01,-1.0,False
DF0009_00014_01,DF0403_00032_01,-1.0,False
DF0009_00014_01,ZY0103_00038_01,-1.0,False
DF0009_00014_01,DF0009_00017_01,-1.0,False
DF0009_00017_01,DF1759_00118_01,-1.0,False
DF0009_00017_01,DF1759_00083_01,-1.0,False
DF0009_00017_01,DF1759_00089_01,-1.0,False
DF0009_00017_01,DF0009_00014_01,-1.0,False
DF0009_00017_01,DF1759_00054_01,-1.0,False
DF0009_00017_01,DF0009_00011_01,-1.0,False
DF0009_00017_01,DF0009_00032_02,-1.0,False
DF0009_00017_01,DF0403_00027_02,-1.0,False
DF0009_00017_01,DF1759_00085_01,-1.0,False
DF0009_00017_01,DF1176_00036_01,-1.0,False
DF0009_00017_01,DF1176_00048_02,-1.0,False
DF0009_00017_01,DF0009_00032_01,-1.0,False
DF0009_00017_01,ZY0103_00034_01,-1.0,False
DF0009_00017_01,ZY0103_00029_01,-1.0,False
DF0009_00017_01,ZY0103_00036_01,-1.0,False
DF0009_00017_01,DF0403_00027_01,-1.0,False
DF0009_00017_01,DF1759_00087_01,-1.0,False
DF0009_00022_01,DF1176_00048_02,-1.0,False
DF0009_00022_01,DF1759_00164_01,-1.0,False
DF0009_00022_01,DF1176_00048_01,-1.0,False
DF0009_00022_01,DF0009_00025_01,-1.0,False
DF0009_00022_01,DF1759_00171_01,-1.0,False
DF0009_00022_01,DF1176_00049_01,-1.0,False
DF0009_00022_01,DF0403_00019_03,-1.0,False
DF0009_00022_01,DF1176_00051_01,-1.0,False
DF0009_00022_01,DF1759_00153_03,-1.0,False
DF0009_00022_01,DF1759_00122_01,-1.0,False
DF0009_00022_01,DF1759_00167_01,-1.0,False
DF0009_00022_01,DF1176_00026_01,-1.0,False
DF0009_00022_01,DF1759_00083_01,-1.0,False
DF0009_00022_01,DF0009_00017_01,-1.0,False
DF0009_00022_01,DF1759_00167_02,-1.0,False
DF0009_00022_01,DF1759_00054_01,-1.0,False
DF0009_00022_01,DF1759_00174_01,-1.0,False
DF0009_00025_01,DF0009_00022_01,-1.0,False
DF0009_00025_01,DF0403_00027_02,-1.0,False
DF0009_00025_01,DF0403_00019_03,-1.0,False
DF0009_00025_01,DF0403_00019_02,-1.0,False
DF0009_00025_01,DF1759_00164_01,-1.0,False
DF0009_00025_01,DF0009_00017_01,-1.0,False
DF0009_00025_01,DF1176_00048_02,-1.0,False
DF0009_00025_01,DF1759_00054_01,-1.0,False
DF0009_00025_01,DF1759_00083_01,-1.0,False
DF0009_00025_01,DF1176_00033_01,-1.0,False
DF0009_00025_01,DF1759_00120_01,-1.0,False
DF0009_00025_01,DF1176_00048_01,-1.0,False
DF0009_00025_01,DF0009_00032_01,-1.0,False
DF0009_00025_01,DF0009_00036_01,-1.0,False
DF0009_00025_01,DF0009_00032_02,-1.0,False
DF0009_00025_01,DF1759_00118_01,-1.0,False
DF0009_00025_01,DF1759_00167_02,-1.0,False
