node_a,node_b,score_mean,score_p75,score_max,pair_count,human_action,human_notes
L2_N0109e16a,L2_N227589e0,0.29002511501312256,0.33838170766830444,0.3867383036054077,2,keep,
L2_N0109e16a,L2_N33b2d022,0.15323759615421295,0.15323759615421295,0.1532375900582011,1,keep,
L2_N0109e16a,L2_N926fa20a,0.18776559829711914,0.18857882916927338,0.1893920760954465,2,keep,
L2_N0109e16a,L2_N9e86e873,0.4314442574977875,0.4314442574977875,0.4314442657068921,1,keep,
L2_N0109e16a,L2_Na5b73aaf,0.15313653647899628,0.15313653647899628,0.1531365302054962,1,keep,
L2_N0109e16a,L2_Nbde783bd,0.8277232050895691,0.8456972241401672,0.8636712514688601,2,keep,
L2_N0109e16a,L2_Ne455f9ae,0.6879361867904663,0.7420215606689453,0.7961069583453873,2,keep,
L2_N08a346fe,L2_N0a6e8ca5,0.18997083604335785,0.18997083604335785,0.1899708314305075,1,keep,
L2_N08a346fe,L2_N4f9516d8,0.17186327278614044,0.1740788370370865,0.1762944044728118,2,keep,
L2_N08a346fe,L2_N7d5270bf,0.1690964549779892,0.1690964549779892,0.1690964566606687,1,keep,
L2_N08a346fe,L2_N8c3b0cad,0.4012412428855896,0.4279187023639679,0.4545961419613075,2,keep,
L2_N08a346fe,L2_N8e687f9d,0.21785728633403778,0.2279394119977951,0.2380215390315125,2,keep,
L2_N08a346fe,L2_N926fa20a,0.21759656071662903,0.2271755039691925,0.2367544352038789,2,keep,
L2_N08a346fe,L2_Nbfebbffa,0.5421367883682251,0.6076229214668274,0.6731091177830562,2,keep,
L2_N08a346fe,L2_Nd0b47c6e,0.725296139717102,0.7531329393386841,0.7809696865770717,2,keep,
L2_N08a346fe,L2_Nfeea0571,0.16874174773693085,0.16874174773693085,0.1687417547454772,1,keep,
L2_N0a6e8ca5,L2_N10f72f08,0.00849688146263361,0.009804577566683292,0.0111122747142339,2,keep,
L2_N0a6e8ca5,L2_N13abaa5a,0.13064315915107727,0.13064315915107727,0.1306431561916039,1,keep,
L2_N0a6e8ca5,L2_N24b2144b,0.14360687136650085,0.14570671319961548,0.1478065508325386,2,keep,
L2_N0a6e8ca5,L2_N306e9a75,0.15540261566638947,0.15585829317569733,0.1558582890557057,4,keep,
L2_N0a6e8ca5,L2_N4f9516d8,0.13735230267047882,0.13735230267047882,0.1373522982152241,1,keep,
L2_N0a6e8ca5,L2_N6da1b013,0.159402996301651,0.159402996301651,0.1594030009033319,1,keep,
L2_N0a6e8ca5,L2_N8228268e,0.15078482031822205,0.15078482031822205,0.1507848255680562,1,keep,
L2_N0a6e8ca5,L2_Na75f0b05,0.15543481707572937,0.15912339091300964,0.1628119668279939,2,keep,
L2_N0a6e8ca5,L2_Nadf8c478,0.1803685873746872,0.1803685873746872,0.1803685818551033,1,keep,
L2_N0a6e8ca5,L2_Nbfebbffa,0.15956038236618042,0.15956038236618042,0.159560382014181,1,keep,
L2_N0a6e8ca5,L2_Nc3c2ff15,0.1558481603860855,0.1558481603860855,0.1558481593509091,1,keep,
L2_N0a6e8ca5,L2_Nd5d2d592,0.14642207324504852,0.14642207324504852,0.1464220708267854,1,keep,
L2_N0a6e8ca5,L2_Nd8a500a1,0.19955472648143768,0.19955472648143768,0.1995547323076312,1,keep,
L2_N0a6e8ca5,L2_Ne1879105,0.13952602446079254,0.13952602446079254,0.1395260237987831,1,keep,
L2_N0a6e8ca5,L2_Ne4cef915,0.05551327019929886,0.05551327019929886,0.055513269822456,1,keep,
L2_N0e93e380,L2_N640a2992,0.8309946060180664,0.8323544263839722,0.8337141715309236,2,keep,
L2_N0e93e380,L2_Nd39445b0,0.8384169340133667,0.8384169340133667,0.8384169128598573,1,keep,
L2_N10f72f08,L2_N172cd711,0.1631152480840683,0.1641613394021988,0.1652311044321673,3,keep,
L2_N10f72f08,L2_N24b2144b,0.14488428831100464,0.1469685584306717,0.1490528350618969,2,keep,
L2_N10f72f08,L2_N3782a8fc,0.15683627128601074,0.15710744261741638,0.1573786109626736,2,keep,
L2_N10f72f08,L2_N466127b4,0.1579810380935669,0.1590576022863388,0.1601341669513356,2,keep,
L2_N10f72f08,L2_N4db8aea7,0.15997111797332764,0.16140933334827423,0.1628475517994352,2,keep,
L2_N10f72f08,L2_N709fdde1,0.16409769654273987,0.17036567628383636,0.190927506390631,12,keep,
L2_N10f72f08,L2_N8ed52793,0.13919804990291595,0.1406526267528534,0.1421071975158301,2,keep,
L2_N10f72f08,L2_N926fa20a,0.16566866636276245,0.16593322157859802,0.1661977780314983,2,keep,
L2_N10f72f08,L2_N9ef25cc0,0.15523675084114075,0.15612010657787323,0.1570034442664001,2,keep,
L2_N10f72f08,L2_Naaad89dc,0.1663939356803894,0.17045778036117554,0.1709686893691417,3,keep,
L2_N10f72f08,L2_Nbd50000d,0.14101862907409668,0.14217062294483185,0.1433226086946273,2,keep,
L2_N10f72f08,L2_Nbfebbffa,0.14884161949157715,0.14884161949157715,0.1488416266737651,1,keep,
L2_N10f72f08,L2_Nc81ee0b8,0.19536830484867096,0.20257824659347534,0.2127638336759647,4,keep,
L2_N10f72f08,L2_Nd39445b0,0.169412761926651,0.17512300610542297,0.1808332469247549,2,keep,
L2_N10f72f08,L2_Nd825449f,0.1836085170507431,0.18598218262195587,0.1883729174765501,4,keep,
