node_id,member_id
L2_Nc81ee0b8,DF0298_00024_01
L2_N6d9c5da7,DF0865_00048_01
L2_Na5b73aaf,DF0865_00055_01
L2_N4f9516d8,DF1322_00023_01
L2_Nd825449f,DF1759_00164_01
L2_N649ec6c7,DF0009_00028_01
L2_N9f46f3fd,DF0009_00036_01
L2_Nbd50000d,DF0298_00029_01
L2_N306e9a75,DF0542_00009_01
L2_N306e9a75,DF1898_00029_01
L2_Nff3b5230,DF1176_00023_01
L2_N24b2144b,DF1898_00053_01
L2_Ne1879105,DF0009_00032_01
L2_Na75f0b05,DF0009_00032_02
L2_Nc8ab6162,DF0865_00062_01
L2_Nfdcfd3c4,DF1759_00138_01
L2_N9e86e873,DF0403_00038_01
L2_N33b2d022,DF0403_00038_02
L2_Nbde783bd,DF1176_00028_01
L2_N0109e16a,DF1185_00113_01
L2_N227589e0,DF1322_00017_01
L2_Nd8a500a1,DF0009_00014_01
L2_N0a6e8ca5,DF0009_00017_01
L2_Nb22f5139,DF0009_00039_01
L2_N4db8aea7,DF0403_00019_03
L2_Nfeea0571,DF0403_00032_01
L2_Nb80d9c6e,DF0403_00032_02
L2_N8228268e,DF0459_00010_01
L2_N5e2fe781,DF0865_00029_01
L2_N3d4844b8,DF1176_00043_01
L2_N7d5270bf,DF1185_00050_01
L2_N3c9cbbd0,DF1185_00062_01
L2_N18198f00,DF1185_00072_01
L2_Nadf8c478,DF1322_00019_01
L2_N466127b4,DF0009_00022_01
L2_N10f72f08,DF0009_00025_01
L2_N10f72f08,DF0865_00041_01
L2_N08a346fe,DF0298_00014_01
L2_N709fdde1,DF0298_00019_01
L2_N709fdde1,DF0459_00022_01
L2_N709fdde1,DF0542_00023_01
L2_N709fdde1,DF1898_00037_01
L2_N9a2b3002,DF0403_00012_01
L2_N8c3b0cad,DF0403_00012_02
L2_Nd77a7607,DF0403_00019_01
L2_N9ef25cc0,DF0403_00019_02
L2_N69b20189,DF0403_00027_01
L2_Ne4cef915,DF0403_00027_02
L2_N8e687f9d,DF0459_00015_01
L2_Nf64b0b03,DF0459_00031_01
L2_Nd0b47c6e,DF0542_00016_01
L2_N172cd711,DF0865_00036_01
L2_N2f32c229,DF1176_00033_01
L2_Nc3c2ff15,DF1176_00038_01
L2_Nc3c2ff15,DF1322_00021_01
L2_Nd39445b0,DF1185_00078_01
L2_N926fa20a,DF1322_00013_01
L2_N3782a8fc,DF1322_00015_01
L2_Naaad89dc,DF1322_00015_02
L2_Nbfebbffa,DF1759_00054_01
L2_N13abaa5a,DF1759_00083_01
L2_N68c2aa93,DF1759_00120_01
L2_N8ed52793,DF0298_00038_01
L2_N6db20b9a,DF0542_00028_01
L2_N6db20b9a,DF1898_00045_01
L2_Nd5d2d592,DF0865_00024_01
L2_N242a428d,DF0865_00069_01
L2_N6da1b013,DF1898_00023_01
L2_Ne455f9ae,DF1185_00131_01
L2_N60c3ab56,DF1185_00076_01
L2_N27ba78e2,DF0459_00029_01
L2_N640a2992,DF1185_00106_01
L2_N0e93e380,DF1185_00109_01
L2_N578f3b8a,DF0542_00031_01
