node_a,node_b,score_mean,score_p75,score_max,pair_count,human_action,human_notes
L3_N0362ceea,L3_N08db7b5b,0.18403904139995575,0.18403904139995575,0.184039047221158,1,keep,
L3_N0362ceea,L3_N1da589d2,0.18903256952762604,0.18903256952762604,0.1890325666175238,1,keep,
L3_N0362ceea,L3_N22d9d7b1,0.48331397771835327,0.5208108425140381,0.5583076895319004,2,keep,
L3_N0362ceea,L3_N42402ab1,0.2383568286895752,0.24152299761772156,0.2446891528721426,2,keep,
L3_N0362ceea,L3_N4b540045,0.18871282041072845,0.18871282041072845,0.18871282449733,1,keep,
L3_N0362ceea,L3_N4c90cbd7,0.16601118445396423,0.16601118445396423,0.1660111778995792,1,keep,
L3_N0362ceea,L3_N53ff6178,0.18269969522953033,0.18269969522953033,0.1826996968671139,1,keep,
L3_N0362ceea,L3_N578f3b8a,0.19932003319263458,0.19932003319263458,0.1993200304772135,1,keep,
L3_N0362ceea,L3_N724f0a0b,0.17629946768283844,0.17629946768283844,0.1762994737542378,1,keep,
L3_N0362ceea,L3_N792037db,0.18449170887470245,0.18449170887470245,0.1844917066595683,1,keep,
L3_N0362ceea,L3_N7e9ff5f6,0.19149821996688843,0.19283095002174377,0.1941636811585144,2,keep,
L3_N0362ceea,L3_N8283673b,0.22522196173667908,0.2312762290239334,0.2373304916225192,2,keep,
L3_N0362ceea,L3_N888d7345,0.4963216185569763,0.49871355295181274,0.5011055130733176,2,keep,
L3_N0362ceea,L3_Nb328f7fc,0.17905426025390625,0.17905426025390625,0.179054261639101,1,keep,
L3_N0362ceea,L3_Nb394347b,0.19647324085235596,0.19677850604057312,0.1970837689418623,2,keep,
L3_N0362ceea,L3_Nb3d3c087,0.44151371717453003,0.44357746839523315,0.4456411940460973,2,keep,
L3_N0362ceea,L3_Nb67e0092,0.1774345189332962,0.1774345189332962,0.1774345246572864,1,keep,
L3_N0362ceea,L3_Nc3d125b3,0.168907031416893,0.168907031416893,0.1689070305738798,1,keep,
L3_N0362ceea,L3_Nce212504,0.20458662509918213,0.2080923616886139,0.2115980876977912,2,keep,
L3_N0362ceea,L3_Ne7b47d1e,0.791347086429596,0.7940840721130371,0.7968211081623683,2,keep,
L3_N0362ceea,L3_Nea04744e,0.17632989585399628,0.17632989585399628,0.1763298890669332,1,keep,
L3_N0362ceea,L3_Ned79e54c,0.1977519541978836,0.1977519541978836,0.1977519511055097,1,keep,
L3_N0362ceea,L3_Nf3b017a0,0.16776591539382935,0.16776591539382935,0.1677659193221604,1,keep,
L3_N0362ceea,L3_Nf8276134,0.1703154742717743,0.1703154742717743,0.1703154772611767,1,keep,
L3_N0362ceea,L3_Nfb48b97b,0.339057594537735,0.339057594537735,0.3390576092556777,1,keep,
L3_N06f95f57,L3_N07990008,0.1953299641609192,0.1953299641609192,0.1953299606099659,1,keep,
L3_N06f95f57,L3_N4888066d,0.18857288360595703,0.18857288360595703,0.1885728852183159,1,keep,
L3_N06f95f57,L3_N7c0dd099,0.18847735226154327,0.19224891066551208,0.1960204647409472,2,keep,
L3_N06f95f57,L3_N7e9ff5f6,0.28541111946105957,0.2888309061527252,0.2922507047672352,2,keep,
L3_N06f95f57,L3_N85bf292e,0.19703668355941772,0.19834458827972412,0.1996524847540887,2,keep,
L3_N06f95f57,L3_N8b934feb,0.1739354133605957,0.1739354133605957,0.1739354090254703,1,keep,
L3_N06f95f57,L3_N94978a33,0.2115086317062378,0.21736828982830048,0.2232279469721023,2,keep,
L3_N06f95f57,L3_Na5cf0ba6,0.18439114093780518,0.18439114093780518,0.1843911384163436,1,keep,
L3_N06f95f57,L3_Nd93e3e25,0.1887727826833725,0.1887727826833725,0.1887727888023841,1,keep,
L3_N06f95f57,L3_Ne96a4ba3,0.2859862148761749,0.2859862148761749,0.2859862102576154,1,keep,
L3_N07990008,L3_N08db7b5b,0.1834878921508789,0.18576036393642426,0.1880328266742058,2,keep,
L3_N07990008,L3_N14530829,0.19186267256736755,0.19186267256736755,0.1918626711100126,1,keep,
L3_N07990008,L3_N27ba78e2,0.17860905826091766,0.17860905826091766,0.1786090553216877,1,keep,
L3_N07990008,L3_N3810ecfd,0.19761338829994202,0.20384755730628967,0.2100817178240465,2,keep,
L3_N07990008,L3_N3ab0a1a9,0.20771795511245728,0.21017082035541534,0.2549895945465911,4,keep,
L3_N07990008,L3_N4888066d,0.18819288909435272,0.18819288909435272,0.1881928921213713,1,keep,
