node_id,member_id
L3_Nc5166684,DF0298_00025_01
L3_Nf50b9a9d,DF0298_00027_01
L3_Nb1103d45,DF0865_00049_01
L3_N792037db,DF0865_00051_01
L3_N42402ab1,DF0865_00053_01
L3_Nea04744e,DF0865_00056_01
L3_N724f0a0b,DF0865_00058_01
L3_N2c29b561,DF0865_00060_01
L3_N97559905,DF1759_00166_01
L3_Nc3d125b3,DF1759_00174_01
L3_Nd93e3e25,DF2583_00048_01
L3_N07990008,DF0298_00030_01
L3_N133b0ed2,DF0298_00032_01
L3_Na5cf0ba6,DF0298_00034_01
L3_N84a28744,DF0298_00036_01
L3_N3ab0a1a9,DF0542_00010_01
L3_N3ab0a1a9,DF1898_00030_01
L3_N77a3b68b,DF0542_00012_01
L3_Nb148a883,DF0542_00014_01
L3_N48dcd88a,DF1176_00024_01
L3_N9815851a,DF1176_00026_01
L3_N8458a8a8,DF1898_00032_01
L3_N98ef0212,DF1898_00034_01
L3_Nc21e1f2f,DF1898_00054_01
L3_N71ce64b1,DF1898_00056_01
L3_Ne6cde812,DF2583_00055_01
L3_N1b187997,DF0865_00063_01
L3_Nbf5cb6ef,DF0865_00065_01
L3_N5b8fd671,DF0865_00067_01
L3_N09522c48,DF1759_00140_01
L3_Nfc162f8c,DF1759_00145_01
L3_N70eeee1d,DF1759_00150_01
L3_Ne42076c0,DF1759_00155_01
L3_N8283673b,DF1176_00029_01
L3_Nce212504,DF1176_00031_01
L3_N53ff6178,DF1185_00115_01
L3_N4b540045,DF1185_00120_01
L3_N1da589d2,DF1185_00129_01
L3_Ne455f9ae,DF1185_00131_01
L3_N7e9ff5f6,DF2583_00041_01
L3_N08db7b5b,DF0459_00011_01
L3_Nd571b089,DF0459_00013_01
L3_Nea54495c,DF0865_00030_01
L3_N965cfc12,DF0865_00032_01
L3_Nba68b284,DF0865_00034_01
L3_Nbccd8d12,DF1176_00044_01
L3_N8b934feb,DF1176_00046_01
L3_N7c0dd099,DF1185_00052_01
L3_Nd003c070,DF1185_00054_01
L3_N252b74e4,DF1185_00058_01
L3_N51765af4,DF1185_00060_01
L3_N5c977f92,DF1185_00064_01
L3_N9ae5e272,DF1185_00066_01
L3_Nbf6e7bf3,DF1185_00068_01
L3_N701e7011,DF1185_00070_01
L3_N14530829,DF1185_00074_01
L3_N60c3ab56,DF1185_00076_01
L3_N06f95f57,DF2583_00014_01
L3_Ne96a4ba3,DF2583_00025_01
L3_N4c90cbd7,DF0298_00015_01
L3_Nb67e0092,DF0298_00017_01
L3_N571de1aa,DF0298_00020_01
L3_N33c0e278,DF0298_00022_01
L3_N303eccc1,DF0459_00016_01
L3_Ne5a02d74,DF0459_00018_01
L3_N74ff71bd,DF0459_00020_01
L3_Nc56580b0,DF0459_00023_01
L3_Nb2d030f0,DF0459_00025_01
L3_N8f8e91cf,DF0459_00027_01
L3_N8f8e91cf,DF1898_00040_01
L3_N27ba78e2,DF0459_00029_01
L3_Ned79e54c,DF0459_00032_01
L3_Nb394347b,DF0459_00034_01
L3_N22d9d7b1,DF0459_00036_01
L3_N62ed0091,DF0459_00038_01
L3_Nccfe417c,DF0542_00017_01
L3_N9ecfe06c,DF0542_00019_01
L3_N86ef6403,DF0542_00021_01
L3_N22dcecc8,DF0542_00024_01
L3_Nc3e4e468,DF0542_00026_01
L3_N9a9d4b5c,DF0865_00037_01
L3_N2d02331f,DF0865_00039_01
L3_N3ba23cb1,DF0865_00042_01
L3_Nc594b785,DF0865_00044_01
L3_Na7c6a537,DF0865_00046_01
L3_Na1b5b8e4,DF1176_00034_01
L3_Nd3c80123,DF1176_00036_01
L3_N82cdf37d,DF1176_00039_01
L3_Nc92a3618,DF1176_00041_01
L3_N595f8c05,DF1185_00080_01
L3_N18ada171,DF1185_00087_01
L3_Nd551ce89,DF1185_00094_01
L3_N29e43ee4,DF1185_00101_01
L3_N640a2992,DF1185_00106_01
L3_Nf3b017a0,DF1759_00056_01
L3_N198ad664,DF1759_00061_01
L3_Nc97533ee,DF1759_00074_01
L3_Nb328f7fc,DF1759_00085_01
L3_Nb328f7fc,DF1759_00091_01
L3_Nb0e7dd4f,DF1759_00118_01
L3_N0f65b0c3,DF1759_00122_01
L3_N65606e29,DF1759_00125_01
L3_Nd290d812,DF1759_00130_01
L3_Nca0d54be,DF1898_00038_01
L3_Nf8bb4ea7,DF1898_00042_01
L3_Ncc6e46eb,DF2583_00032_01
L3_Naeed249a,DF2583_00032_02
L3_N4da94e7a,DF2583_00032_03
L3_Nef0fcc52,DF0298_00039_01
L3_Nb3d3c087,DF0542_00029_01
L3_N578f3b8a,DF0542_00031_01
L3_N9c47a867,DF0542_00033_01
L3_N5383b7aa,DF0542_00035_01
L3_N55fb6992,DF0865_00025_01
L3_N3810ecfd,DF0865_00027_01
L3_Na04441bf,DF0865_00070_01
L3_Nf8276134,DF0865_00070_02
L3_Na6c4ae61,DF0865_00072_01
L3_N4888066d,DF0865_00072_02
L3_Nb28e82d6,DF0865_00072_03
L3_Ne78d3c45,DF1898_00024_01
L3_N55664f5d,DF1898_00026_01
L3_N0362ceea,DF1898_00046_01
L3_Ne7b47d1e,DF1898_00048_01
L3_N888d7345,DF1898_00050_01
L3_N3494c85c,DF1759_00171_01
L3_N32b417e2,DF1759_00172_03
L3_Ne55e384d,DF1759_00143_01
L3_Nfb48b97b,DF1185_00127_01
L3_N85bf292e,DF2583_00030_01
L3_N90c2cae1,DF1185_00097_01
L3_N0e93e380,DF1185_00109_01
L3_N94978a33,DF2583_00035_01
